Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,8
design__inferred_latch__count,0
design__instance__count,23697
design__instance__area,161795
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,13694
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,389
design__max_cap_violation__count__corner:nom_tt_025C_1v80,35
power__internal__total,0.007312265690416098
power__switching__total,0.00005366294499253854
power__leakage__total,1.3766984352514555E-7
power__total,0.007366066332906485
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25
timing__hold__ws__corner:nom_tt_025C_1v80,0.1982877529407311
timing__setup__ws__corner:nom_tt_025C_1v80,2.014208412626389
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.198288
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,5.431584
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,18535
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,389
design__max_cap_violation__count__corner:nom_ss_100C_1v60,49
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25
timing__hold__ws__corner:nom_ss_100C_1v60,0.6164047780003529
timing__setup__ws__corner:nom_ss_100C_1v60,-12.120740310056433
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,-13859.719211710544
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-12.120740310056433
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.616405
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,2805
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-6.391607
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,1236
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,10043
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,389
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,36
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25
timing__hold__ws__corner:nom_ff_n40C_1v95,0.04632624970315411
timing__setup__ws__corner:nom_ff_n40C_1v95,6.763211515588808
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.046326
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,10.483056
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,18535
design__max_fanout_violation__count,389
design__max_cap_violation__count,49
clock__skew__worst_hold,-0.25
clock__skew__worst_setup,0.25
timing__hold__ws,0.04632624970315411
timing__setup__ws,-12.120740310056433
timing__hold__tns,0
timing__setup__tns,-13859.719211710544
timing__hold__wns,0
timing__setup__wns,-12.120740310056433
timing__hold_vio__count,0
timing__hold_r2r__ws,0.046326
timing__hold_r2r_vio__count,0
timing__setup_vio__count,2805
timing__setup_r2r__ws,-6.391607
timing__setup_r2r_vio__count,1236
design__die__bbox,0.0 0.0 873.205 883.925
design__core__bbox,5.52 10.88 867.56 870.4
design__io,5
design__die__area,771848
design__core__area,740941
design__instance__count__stdcell,23697
design__instance__area__stdcell,161795
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.218365
design__instance__utilization__stdcell,0.218365
design__instance__count__class:buffer,321
design__instance__count__class:inverter,1622
design__instance__count__class:sequential_cell,1568
design__instance__count__class:multi_input_combinational_cell,9692
flow__warnings__count,0
flow__errors__count,0
design__instance__count__class:fill_cell,632
design__instance__count__class:tap_cell,10494
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,3
design__io__hpwl,3176963
