net,length_um
_06661_,1.45961mm
net2091,1.42154mm
net1933,1.30048mm
net2227,1.21992mm
net78,1.20518mm
net1761,1.16955mm
net1920,1.12764mm
net866,1.10975mm
net431,1.10429mm
net1370,1.091995mm
net2505,1.08974mm
net1665,1.08921mm
net1300,1.0879mm
net1573,1.078975mm
net1322,1.05277mm
net1576,1.026545mm
net1603,991.55µm
net1379,977.83µm
net2108,975.8µm
net821,957.7µm
net1597,944.73µm
_07240_,940.3µm
net1154,914.015µm
net57,901.87µm
net2056,894.88µm
net1611,893.99µm
net1124,892.43µm
clknet_0_clk,886.65µm
net465,883.6µm
net98,874.6µm
net732,853.57µm
net391,848.65µm
_06623_,847.86µm
net1583,847.77µm
net1743,839.81µm
net2185,837.18µm
net2566,835.29µm
net49,835.21µm
clk,833.05µm
net176,832.32µm
net189,828.67µm
net2149,826.39µm
net200,811µm
net1337,810.725µm
net933,808.79µm
net346,798.19µm
net1132,798.17µm
net168,792.71µm
net1121,791.97µm
net1353,791.15µm
net1824,790.9µm
clknet_2_2_0_clk,790.06µm
net167,787.78µm
net51,787.29µm
net1109,783.44µm
net1571,781.15µm
net1884,779.12µm
net1664,777.32µm
_08906_,775.24µm
net1112,773.815µm
net1902,773.355µm
net615,772.14µm
net1760,771.09µm
net1582,770.74µm
net929,770.16µm
net2039,767.82µm
net1838,767.71µm
net2848,766.355µm
net1492,765.42µm
net165,761.79µm
net87,756.165µm
net173,755.35µm
clknet_2_0_0_clk,754.8µm
net123,754.17µm
clknet_2_1_0_clk,751.96µm
dp.dm.mem\[118\]\[2\],747.855µm
net691,747.28µm
net1839,746.21µm
net2194,742.19µm
net1826,741.94µm
net330,737.89µm
net1883,736.5µm
net1175,735.625µm
net1579,733.98µm
net197,731.07µm
net1285,730.14µm
net1607,728.76µm
dp.dm.mem\[94\]\[6\],722.315µm
net1465,721.445µm
net161,721.09µm
net1168,720.91µm
net2150,717.83µm
_07452_,717.78µm
net1172,715.81µm
net1593,714.7µm
_06711_,712.45µm
net2311,712.35µm
net347,711.02µm
net1689,708.48µm
net1575,706.62µm
net390,704.075µm
net1700,701.78µm
net1462,699.795µm
net2116,698.54µm
_07900_,697.865µm
net1214,696.24µm
net63,695.79µm
net1030,694.83µm
net1596,693.695µm
net2763,687.52µm
clknet_2_3_0_clk,687.49µm
net1106,686.44µm
net2244,685.92µm
net79,682.96µm
net873,679.57µm
net1614,678.91µm
net251,678.38µm
net193,677.93µm
net1617,676.43µm
dp.dm.mem\[126\]\[3\],676.21µm
net131,672.71µm
net376,671.13µm
net1470,670.04µm
net323,669.62µm
net875,669.29µm
net2184,669.11µm
_09070_,668.57µm
net349,665.25µm
net1586,664.46µm
net1591,660.96µm
net433,659.68µm
net164,659.18µm
net192,658.97µm
_09076_,657.98µm
dp.dm.mem\[127\]\[3\],656.61µm
net2020,654.42µm
dp.dm.mem\[125\]\[3\],653.065µm
net871,651.28µm
net1891,651.09µm
net44,650.57µm
net1407,649.555µm
net669,646.87µm
net872,646.49µm
net1245,646.43µm
net883,643.96µm
net1674,643.85µm
net1610,642.6µm
net326,642.41µm
dp.dm.mem\[55\]\[2\],640.905µm
net1584,639.12µm
net1129,637.68µm
net59,636.13µm
_06848_,633.37µm
dp.dm.mem\[95\]\[6\],633.15µm
net2107,632.89µm
net1975,631.08µm
_06805_,629.74µm
net21,628.29µm
net1606,627.78µm
net405,626.62µm
net825,626.16µm
net607,625.83µm
_07328_,625.57µm
dp.dm.mem\[53\]\[2\],624.59µm
net421,623.65µm
_07314_,622.73µm
net80,620.825µm
net463,620.14µm
dp.dm.mem\[95\]\[5\],619.975µm
_06710_,618.36µm
net1563,617.955µm
net696,617.55µm
dp.dm.mem\[32\]\[6\],616.78µm
net572,616.35µm
net1512,615.82µm
net1577,613.74µm
net1616,610.86µm
net886,610.26µm
net301,610.16µm
_06863_,610.05µm
net2202,609.85µm
_06770_,608.46µm
net613,608.095µm
net1354,607.39µm
net316,607µm
net100,606.33µm
net516,606.11µm
_09108_,606.01µm
net414,605.94µm
dp.dm.mem\[95\]\[4\],604.805µm
net1426,604.4µm
net1810,604.3µm
net1174,604.035µm
_07005_,603.57µm
net1612,601.72µm
_07085_,601.3µm
_07075_,601.1µm
net925,600.745µm
net1171,600.505µm
net1595,598.955µm
net1326,598.74µm
net295,598.54µm
dp.dm.mem\[54\]\[2\],597.945µm
net1438,597.85µm
net40,596.87µm
net389,596.57µm
net882,595.4µm
net1427,595.22µm
net1608,592.305µm
net650,592.09µm
net1361,591.475µm
dp.dm.mem\[62\]\[3\],591.34µm
net108,590.44µm
net120,589.89µm
net105,589.5µm
net869,588.94µm
net928,588.84µm
net375,588.78µm
net1653,588.68µm
net562,588.34µm
net198,586.35µm
net496,586.01µm
net224,585.67µm
net1355,584.565µm
net859,582.61µm
_06800_,582.26µm
net1722,580.72µm
net171,580.4µm
net1421,580.07µm
net1123,578.95µm
net1500,578.92µm
net890,578.48µm
net324,577.87µm
net1677,577.43µm
net196,574.45µm
net2073,574.28µm
net1846,574.11µm
net1585,574.04µm
net75,573.41µm
_06916_,570.76µm
net258,570.41µm
net276,569.75µm
net1388,569.31µm
net311,568.88µm
_06693_,568.8µm
net850,568.54µm
net915,568.3µm
net852,567.49µm
dp.dm.mem\[61\]\[3\],567.23µm
net1404,567.06µm
net228,566.92µm
net216,566.68µm
net2143,566.335µm
net2130,565.39µm
net1516,564.91µm
net2051,564.71µm
net1035,564.575µm
_07098_,564.12µm
_06750_,561.57µm
net1710,561.23µm
dp.dm.mem\[93\]\[4\],561.03µm
net1423,560.505µm
net1360,560.185µm
net493,559.56µm
net1246,559.305µm
net109,559.05µm
net1140,558.955µm
net1276,557.805µm
net1534,556.64µm
_06884_,556.5µm
net1298,555.41µm
_07057_,554.57µm
net841,554.26µm
net1432,554.11µm
net550,552.49µm
net77,552.44µm
net1544,552.43µm
net777,552.39µm
net1183,551.615µm
net2162,551.13µm
net2262,550.9µm
net870,550.815µm
net392,549.75µm
net2148,549.46µm
net1823,549.22µm
net1599,548.78µm
net213,548.24µm
net1336,547.605µm
net1557,547.17µm
net378,546.82µm
net1418,546.575µm
net858,546.18µm
net1615,545.2µm
net752,544.05µm
net325,543.43µm
net1378,543.37µm
net94,543.06µm
_06992_,541.8µm
net55,541.7µm
net773,541.13µm
_07014_,540.26µm
net1125,539.75µm
net204,539.48µm
net1169,539.44µm
dp.dm.mem\[27\]\[0\],538.68µm
net444,537.99µm
dp.dm.mem\[110\]\[5\],537.98µm
_06772_,537.94µm
net1663,537.52µm
net1043,537.48µm
net590,536.825µm
_06831_,536.33µm
net17,535.8µm
dp.dm.mem\[119\]\[3\],535.365µm
net845,535.28µm
net2847,535.24µm
net844,535.01µm
net2486,534.89µm
net1519,534.59µm
net1914,534.52µm
_06731_,533.9µm
net245,533.42µm
net1506,532.985µm
net558,532.74µm
net99,532.73µm
_07349_,532.57µm
net334,532.57µm
net997,532.42µm
_06829_,532.39µm
net191,532.15µm
net401,531.895µm
net294,531.82µm
net358,531.725µm
net410,531.17µm
net473,529.36µm
net636,529.13µm
net2443,529.11µm
net1058,528.84µm
_10062_,528.54µm
net1600,528.5µm
net1215,528.435µm
net843,528.12µm
net570,527.575µm
net965,527.24µm
_06585_,527.14µm
net139,526.55µm
dp.dm.mem\[51\]\[2\],525.41µm
net589,525.02µm
_07362_,524.98µm
_09590_,524.42µm
net1989,524.15µm
net897,523.97µm
net1076,523.585µm
net1592,523.19µm
dp.dm.mem\[8\]\[3\],522.43µm
net1295,522.23µm
net770,521.76µm
dp.dm.mem\[32\]\[4\],521.67µm
net1984,521.5µm
net1003,521.16µm
net462,521.15µm
net50,521.08µm
_07721_,521µm
_06834_,519.78µm
net1543,518.335µm
net1038,518.28µm
net1079,518.17µm
dp.dm.mem\[78\]\[3\],517.49µm
net302,516.96µm
net135,516.85µm
dp.dm.mem\[57\]\[2\],516.735µm
net39,516.73µm
dp.dm.mem\[115\]\[2\],516.2µm
dp.dm.mem\[72\]\[4\],515.575µm
net580,515.34µm
net765,515.12µm
net1431,514.545µm
net1495,514.155µm
_07163_,514.15µm
_10079_,514.04µm
net1434,513.64µm
_06908_,513.57µm
net2844,512.74µm
net177,511.9µm
_06846_,511.83µm
net319,511.06µm
net76,510.67µm
net182,510.58µm
net553,509.64µm
net668,509.56µm
net1234,509.48µm
net175,509.42µm
net2647,508.75µm
_06936_,508.72µm
_08996_,508.68µm
net1078,508.24µm
net2167,506.54µm
net551,506.18µm
net2861,505.76µm
net1530,505.535µm
net1399,505.165µm
net708,504.865µm
net2668,504.83µm
net644,504.55µm
net1589,503.97µm
dp.dm.mem\[63\]\[3\],503.54µm
net1307,503.29µm
_07879_,503.28µm
net867,503.205µm
net180,502.945µm
net791,502.6µm
net693,502.455µm
net985,502.19µm
net864,502µm
net568,501.79µm
net130,501.56µm
net1351,501.535µm
net709,501.08µm
net1131,500.94µm
net203,500.765µm
net1011,500.535µm
net2273,500.48µm
net225,500.1µm
net563,500µm
net387,499.77µm
net435,498.945µm
net713,498.69µm
net393,498.19µm
net1522,497.66µm
dp.dm.mem\[41\]\[6\],497.57µm
net581,497.33µm
net942,496.41µm
net1535,496.325µm
net2605,495.24µm
net432,494.38µm
net1539,494.13µm
net1195,494.105µm
net272,493.74µm
net1511,493.33µm
_09925_,491.5µm
net1069,490.88µm
_06778_,490.63µm
net430,489.41µm
net160,489.4µm
net279,489.335µm
net260,488.91µm
net262,488.74µm
net190,488.16µm
net1548,488.07µm
dp.dm.mem\[10\]\[3\],487.48µm
net2296,487.3µm
net1568,486.87µm
net849,486.85µm
net1460,485.8µm
net1150,485.57µm
net2719,485.36µm
net19,485.33µm
net282,484.425µm
net1102,484.32µm
dp.dm.mem\[121\]\[2\],484.095µm
net887,484.05µm
net651,483.395µm
net270,483.11µm
net54,482.79µm
net2003,482.625µm
net265,482.46µm
net1928,482.44µm
clknet_5_16__leaf_clk,482.18µm
dp.dm.mem\[94\]\[0\],482.135µm
net1483,481.905µm
_10002_,479.6µm
net66,479.11µm
net485,478.75µm
net1464,478.67µm
net655,478.58µm
net1744,478.3µm
net226,478.09µm
net1114,477.99µm
net931,477.97µm
net268,476.58µm
_06897_,476.52µm
net2015,476.45µm
net1921,476.4µm
net162,476.06µm
_07074_,475.67µm
net1267,475.65µm
net1701,475.445µm
net1507,475.23µm
net1709,474.715µm
net1926,474.59µm
net1651,474.32µm
net692,474.17µm
net2764,474.03µm
net1598,473.98µm
_07110_,473.715µm
net88,473.485µm
dp.dm.mem\[29\]\[6\],473.125µm
net1332,473.125µm
net2614,473.12µm
dp.dm.mem\[89\]\[0\],472.92µm
_07886_,472.89µm
net1184,472.325µm
_07377_,472.26µm
_07108_,472.16µm
net842,472.14µm
net1796,471.5µm
net877,470.26µm
net620,470.16µm
net18,469.98µm
net647,469.7µm
net133,468.9µm
_07339_,468.8µm
net231,468.64µm
net244,468.37µm
_09721_,468.18µm
net118,468.18µm
net143,468.18µm
net2231,468.14µm
net484,467.92µm
net1602,467.73µm
net629,467.46µm
net122,467.44µm
net574,467.35µm
net511,467.33µm
net1679,467.09µm
_06959_,466.99µm
net888,466.76µm
net43,465.91µm
net185,465.7µm
net1868,465.52µm
dp.dm.mem\[30\]\[6\],464.445µm
net1320,463.93µm
net247,462.99µm
_08990_,462.92µm
net1553,462.44µm
net2828,462.26µm
net1448,461.895µm
_06940_,461.745µm
net448,461.48µm
dp.dm.mem\[95\]\[7\],461.39µm
net663,461.105µm
net259,460.96µm
_08904_,460.78µm
net684,460.71µm
net1580,460.25µm
net1147,460.005µm
net868,459.99µm
net1931,459.87µm
net1238,459.805µm
net74,459.56µm
net188,459.47µm
net683,459.45µm
net278,458.8µm
net344,458.75µm
net1962,458.34µm
net930,458.195µm
dp.dm.mem\[78\]\[4\],457.54µm
net771,457.285µm
net163,456.81µm
_06902_,456.73µm
net170,456.09µm
dp.dm.mem\[27\]\[6\],456µm
net1262,455.75µm
net793,455.745µm
net758,455.64µm
net1652,455.54µm
net1594,455.34µm
net1724,454.78µm
net2035,454.68µm
net742,454.45µm
dp.dm.mem\[112\]\[2\],453.99µm
net594,453.48µm
dp.dm.mem\[52\]\[2\],452.75µm
net333,452.62µm
net250,452.6µm
_09271_,452.54µm
net1081,452.365µm
net1797,452µm
net660,451.43µm
net1604,450.98µm
net125,450.86µm
net418,450.4µm
net1437,450.18µm
net241,450.14µm
net2060,450.1µm
dp.dm.mem\[77\]\[3\],449.695µm
net1691,449.58µm
net2026,449.575µm
net2055,449.28µm
dp.dm.mem\[122\]\[0\],449.095µm
net567,449.07µm
net140,448.71µm
dp.dm.mem\[25\]\[6\],448.63µm
net1152,448.125µm
net89,448.05µm
net461,447.2µm
_07616_,446.34µm
net501,446.34µm
_07396_,446.24µm
_06724_,446.09µm
net817,446.01µm
_07011_,445.91µm
_10236_,445.86µm
net1531,445.675µm
_09848_,445.34µm
net22,445.11µm
net1967,444.99µm
net1514,444.865µm
net220,444.17µm
net557,443.59µm
net1190,443.41µm
_06793_,443.39µm
net837,442.93µm
net1578,442.4µm
dp.dm.mem\[58\]\[2\],442.08µm
dp.dm.mem\[92\]\[6\],441.55µm
net1469,441.18µm
dp.dm.mem\[127\]\[2\],440.89µm
net774,440.885µm
net490,440.59µm
net1053,439.65µm
net148,439.5µm
net632,439.24µm
net1581,438.95µm
net1153,438.915µm
net1699,438.64µm
net538,438.54µm
net880,438.505µm
_06944_,438.425µm
net1083,438.4µm
net896,438.25µm
_08157_,438.2µm
net147,438.035µm
net2209,437.39µm
net820,436.81µm
net1403,435.69µm
net506,435.17µm
dp.dm.mem\[45\]\[5\],435.095µm
_07315_,434.84µm
dp.dm.mem\[114\]\[2\],434.46µm
net303,434.36µm
net217,433.43µm
net1491,433.125µm
_06925_,432.66µm
_08366_,432.63µm
net1454,432.62µm
net796,432.49µm
net517,432.46µm
net1278,432.4µm
net2070,432.27µm
net1202,431.95µm
net593,431.65µm
net424,431.42µm
dp.dm.mem\[125\]\[2\],431.385µm
dp.dm.mem\[36\]\[6\],431.21µm
dp.dm.mem\[110\]\[6\],431.105µm
net56,430.985µm
net1331,430.66µm
