Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_300_1765,VPWR,li1,820.1800,829.6000,1.800000
FILLER_300_1761,VPWR,li1,816.2700,829.6000,1.800000
FILLER_300_1749,VPWR,li1,812.8200,829.6000,1.800000
FILLER_300_1737,VPWR,li1,807.3000,829.6000,1.800000
FILLER_300_1733,VPWR,li1,803.3900,829.6000,1.800000
FILLER_300_1721,VPWR,li1,799.9400,829.6000,1.800000
FILLER_300_1709,VPWR,li1,794.4200,829.6000,1.800000
FILLER_300_1705,VPWR,li1,790.5100,829.6000,1.800000
FILLER_300_1693,VPWR,li1,787.0600,829.6000,1.800000
FILLER_300_1681,VPWR,li1,781.5400,829.6000,1.800000
FILLER_300_1677,VPWR,li1,777.6300,829.6000,1.800000
FILLER_300_1665,VPWR,li1,774.1800,829.6000,1.800000
FILLER_300_1653,VPWR,li1,768.6600,829.6000,1.800000
FILLER_300_1649,VPWR,li1,764.7500,829.6000,1.800000
FILLER_300_1637,VPWR,li1,761.3000,829.6000,1.800000
FILLER_300_1625,VPWR,li1,755.7800,829.6000,1.800000
FILLER_300_1621,VPWR,li1,751.8700,829.6000,1.800000
FILLER_300_1609,VPWR,li1,748.4200,829.6000,1.800000
FILLER_300_1597,VPWR,li1,742.9000,829.6000,1.800000
FILLER_300_1593,VPWR,li1,738.9900,829.6000,1.800000
FILLER_300_1581,VPWR,li1,735.5400,829.6000,1.800000
FILLER_300_1569,VPWR,li1,730.0200,829.6000,1.800000
FILLER_300_1565,VPWR,li1,726.1100,829.6000,1.800000
FILLER_300_1553,VPWR,li1,722.6600,829.6000,1.800000
FILLER_300_1541,VPWR,li1,717.1400,829.6000,1.800000
FILLER_300_1537,VPWR,li1,713.2300,829.6000,1.800000
FILLER_300_1525,VPWR,li1,709.7800,829.6000,1.800000
FILLER_300_1513,VPWR,li1,704.2600,829.6000,1.800000
FILLER_300_1509,VPWR,li1,700.3500,829.6000,1.800000
FILLER_300_1497,VPWR,li1,696.9000,829.6000,1.800000
FILLER_300_1485,VPWR,li1,691.3800,829.6000,1.800000
FILLER_300_1481,VPWR,li1,687.4700,829.6000,1.800000
FILLER_300_1469,VPWR,li1,684.0200,829.6000,1.800000
FILLER_300_1457,VPWR,li1,678.5000,829.6000,1.800000
FILLER_300_1453,VPWR,li1,674.5900,829.6000,1.800000
FILLER_300_1441,VPWR,li1,671.1400,829.6000,1.800000
FILLER_300_1429,VPWR,li1,665.6200,829.6000,1.800000
FILLER_300_1425,VPWR,li1,661.7100,829.6000,1.800000
FILLER_300_1413,VPWR,li1,658.2600,829.6000,1.800000
FILLER_300_1401,VPWR,li1,652.7400,829.6000,1.800000
FILLER_300_1397,VPWR,li1,648.8300,829.6000,1.800000
FILLER_300_1385,VPWR,li1,645.3800,829.6000,1.800000
FILLER_300_1373,VPWR,li1,639.8600,829.6000,1.800000
FILLER_300_1369,VPWR,li1,635.9500,829.6000,1.800000
FILLER_300_1357,VPWR,li1,632.5000,829.6000,1.800000
FILLER_300_1345,VPWR,li1,626.9800,829.6000,1.800000
FILLER_300_1341,VPWR,li1,623.0700,829.6000,1.800000
FILLER_300_1329,VPWR,li1,619.6200,829.6000,1.800000
